SSID;BSSID;Signal(%);X;Y
eduroam;f4:ea:b5:b0:d4:25;90;3.040;6.370
eduroam;f4:ea:b5:dc:15:25;65;4.270;6.430
eduroam;f4:ea:b5:dc:6d:96;100;5.650;6.500
eduroam;f4:ea:b5:dc:15:25;85;5.770;8.030
THGA;f4:ea:b5:dc:2f:15;70;7.380;2.160
