BSSID;Signal
f4:ea:b5:dc:2a:55:;-71
f4:ea:b5:dc:15:16:;-61
f4:ea:b5:dc:2a:56:;-72
f4:ea:b5:dc:6d:96:;-71
f4:ea:b5:dc:12:16:;-71
f4:ea:b5:dc:10:d4:;-73
f4:ea:b5:dc:15:14:;-60
f4:ea:b5:dc:2a:54:;-72
f4:ea:b5:dc:6d:94:;-72
f4:ea:b5:dc:12:14:;-72
